id,question,answer,keywords,category,created_at,user_question,confirmation_request,comment
3cf3d7a8,ビザの有効期限と滞在期限の違いは何ですか?,ビザの有効期限はそのビザで認められた目的でいつまでアメリカに「入国」できるかを示します。一方滞在期限はいつまでアメリカに「滞在」できるかを示します。ビザの有効期限が過ぎていても滞在許可が有効であれば、合法的に滞在し続けられますが、一度出国すると滞在許可は失効し、再入国するためには有効なビザが必要になります。,ビザ;有効期限;滞在期限;入国;滞在;出国,AI生成,2025-10-08 23:39:15,[自動生成] 第2章.pdfから生成,0,
6c3188ff,滞在期限はどのように決まるのですか?,滞在期限は入国時に入国審査官によって付与されます。パスポートにスタンプが押され、滞在ステータスと滞在期限が記入されます。与えられる滞在期限はビザ種別によって定められる期間とパスポートの有効期間のいずれか短い方までとなります。また入国審査官の判断により、本来許可される期間よりも短くなることもあります。,滞在期限;入国審査官;パスポート;滞在ステータス,AI生成,2025-10-08 23:39:15,[自動生成] 第2章.pdfから生成,0,
135df6a7,オーバーステイした場合の影響は何ですか?,オーバーステイが180日を超えると3年間、さらに1年以上になると10年間米国に入国できなくなります。また1年以上不法滞在した後に入国許可などなく再入国しようとした場合、永久に入国禁止になります。オーバーステイすると、入国の際に利用したビザは無効になり、ビザを取り直す必要があります。,オーバーステイ;入国制限;不法滞在;ビザ無効,AI生成,2025-10-08 23:39:15,[自動生成] 第2章.pdfから生成,0,
60749a0f,出国後にI-94が回収されなかった場合はどうすればよいですか?,I-94が回収されずに出国した場合は記録上アメリカに滞在したままになり、不法滞在として記録が残る可能性があります。その場合は税関国境警備局に出国した証拠（搭乗券の原本、出国のスタンプ押された パスポートのコピーなど）とともに送付することで、出国記録を更新できます。,I-94;出国;不法滞在;税関国境警備局,AI生成,2025-10-08 23:39:15,[自動生成] 第2章.pdfから生成,0,
ac35a827,ビザの有効期間はどのように決まりますか?,ビザの有効期間は国籍によって異なります。例えば日本人のBビザの有効期間は通常10年ですが、ベトナム人は通常1年です。また、ビザの申請を審査する領事の判断によって本来認められている期間より短くなることがあります。国籍によるビザの有効期間は国務省のウェブサイトで確認できます。,ビザ;有効期間;国籍;領事,AI生成,2025-10-08 23:39:15,[自動生成] 第2章.pdfから生成,0,
fe534870,H-1Bビザの滞在期限はどのように決まりますか?,H-1Bビザでは入国審査の際に発行される滞在期限は、通常I-797の期限、ビザの残りの有効期限のいずれとも一致します。滞在期間が累積で6年になるまで更新が可能ですが、その後は1年以上の帰国猶予期間を置いてから再申請する必要があります。,H-1Bビザ;滞在期限;I-797;有効期限,AI生成,2025-10-08 23:39:15,[自動生成] 第2章.pdfから生成,0,
33337d98,L-1ビザの滞在期限はどのように決まりますか?,L-1Aビザの場合、滞在期間が累積で7年になるまで更新が可能です。L-1Bビザの場合は5年までとなります。ビザの有効期間は通常5年ですが、滞在期限はI-797（Blanket L ビザの場合はI-129S）に準拠して決まります。,L-1Aビザ;L-1Bビザ;滞在期限;I-797;I-129S,AI生成,2025-10-08 23:39:15,[自動生成] 第2章.pdfから生成,0,
92139883,J-1ビザの滞在期限はどのように決まりますか?,J-1ビザ（研修ビザ）で入国すると、パスポートにはD/Sと記載されます。これは「Duration of Status」の略で、研修の許可証であるDS-2019が有効である限り、アメリカに合法的に滞在できることを示しています。DS-2019の有効期限が1年後であれば滞在期限も1年後ですが、DS-2019を延長すれば滞在期限も自動的に延長されます。,J-1ビザ;研修ビザ;DS-2019;滞在期限,AI生成,2025-10-08 23:39:15,[自動生成] 第2章.pdfから生成,0,
98b35743,E-2投資家ビザの最低投資額はいくらですか?,PDFドキュメントでは、E-2投資家ビザの最低投資額については具体的な金額の記載がありません。ビザの要件や申請手続きの詳細については、公式の情報源を参照する必要があります。,E-2ビザ;投資家ビザ;最低投資額,AI生成,2025-10-08 23:39:15,[自動生成] 第2章.pdfから生成,0,
bd4b2956,O-1ビザ申請時の推薦状は何通必要ですか?,PDFドキュメントには、O-1ビザ申請時の推薦状の数については記載がありません。O-1ビザは「特別な能力を有する外国人」を対象としたビザですが、具体的な申請要件については公式の情報を確認する必要があります。,O-1ビザ;推薦状;申請要件,AI生成,2025-10-08 23:39:15,[自動生成] 第2章.pdfから生成,0,
