timestamp,user_question,matched_question,matched_answer
2025-09-24 19:41:55,テスト質問：H-1Bビザって何？,専門職に必要なビザは何ですか？,専門職にはH-1Bビザが適しています。高度な専門知識を必要とする分野での専門職が対象で、I-797に準じた期間滞在でき、累積で最大6年まで可能です。
2025-09-24 19:59:18,H-1Bビザの申請について教えて,専門職ビザについて,専門職にはH-1Bビザが適しています。詳細は各ビザページをご確認いただくか担当者にお問い合わせください。
2025-09-24 19:59:50,H-1Bビザの申請について教えて,専門職ビザについて,専門職にはH-1Bビザが適しています。詳細は各ビザページをご確認いただくか担当者にお問い合わせください。
2025-09-24 20:08:44,入国許可証って何？,,申し訳ございませんが、該当する質問が見つかりませんでした。より具体的に質問していただくか、お電話でお問い合わせください。
2025-09-24 20:11:47,滞在許可って何？,,はい、ビザの有効期限が過ぎていても滞在許可（I-94）が有効であれば合法的に滞在し続けることができます。ただし一度出国すると滞在許可は失効し、再入国には有効なビザが必要になります。
2025-09-24 20:14:19,滞在許可って何？,,はい、ビザの有効期限が過ぎていても滞在許可（I-94）が有効であれば合法的に滞在し続けることができます。ただし一度出国すると滞在許可は失効し、再入国には有効なビザが必要になります。
2025-09-24 20:22:59,入国許可証って何？,,申し訳ございませんが、該当する質問が見つかりませんでした。より具体的に質問していただくか、お電話でお問い合わせください。
2025-09-24 20:30:43,滞在許可って何？,,はい、ビザの有効期限が過ぎていても滞在許可（I-94）が有効であれば合法的に滞在し続けることができます。ただし一度出国すると滞在許可は失効し、再入国には有効なビザが必要になります。
2025-09-24 20:31:38,滞在許可って何？,,はい、ビザの有効期限が過ぎていても滞在許可（I-94）が有効であれば合法的に滞在し続けることができます。ただし一度出国すると滞在許可は失効し、再入国には有効なビザが必要になります。
2025-09-24 20:36:16,滞在許可って何？,,はい、ビザの有効期限が過ぎていても滞在許可（I-94）が有効であれば合法的に滞在し続けることができます。ただし一度出国すると滞在許可は失効し、再入国には有効なビザが必要になります。
2025-09-24 20:39:29,滞在許可って何？,,はい、ビザの有効期限が過ぎていても滞在許可（I-94）が有効であれば合法的に滞在し続けることができます。ただし一度出国すると滞在許可は失効し、再入国には有効なビザが必要になります。
2025-09-24 20:56:04,滞在許可って何？,,はい、ビザの有効期限が過ぎていても滞在許可（I-94）が有効であれば合法的に滞在し続けることができます。ただし一度出国すると滞在許可は失効し、再入国には有効なビザが必要になります。
2025-09-24 20:57:52,無給であれば商用になりますか？,,商用は米国内での有給雇用を伴わない商取引（契約交渉、会議参加、相談など）で、就労は現地スタッフが行うべき作業を代わりに行うことです。判断基準として「手を動かす作業か」「現地スタッフの仕事を奪うか」などがあります。
2025-09-24 21:06:29,無給で働くことは商用ビザで可能ですか？,,ビザは入国のための許可証で、滞在許可（I-94）は実際にアメリカに滞在できる期間を示します。ビザの有効期限が切れても、I-94が有効であれば合法的に滞在できますが、一度出国すると有効なビザが必要になります。
2025-09-24 21:17:24,商用の定義を教えて。,,商用は米国内での有給雇用を伴わない商取引（契約交渉、会議参加、相談など）で、就労は現地スタッフが行うべき作業を代わりに行うことです。判断基準として「手を動かす作業か」「現地スタッフの仕事を奪うか」などがあります。
2025-09-24 21:23:50,商用の定義を教えて。,,商用は米国内での有給雇用を伴わない商取引（契約交渉、会議参加、相談など）で、就労は現地スタッフが行うべき作業を代わりに行うことです。判断基準として「手を動かす作業か」「現地スタッフの仕事を奪うか」などがあります。
2025-09-24 21:24:20,商用の定義を教えて。,,商用は米国内での有給雇用を伴わない商取引（契約交渉、会議参加、相談など）で、就労は現地スタッフが行うべき作業を代わりに行うことです。判断基準として「手を動かす作業か」「現地スタッフの仕事を奪うか」などがあります。
2025-09-24 23:24:40,就労の違いを教えて。,,商用は米国内での有給雇用を伴わない商取引（契約交渉、会議参加、相談など）で、就労は現地スタッフが行うべき作業を代わりに行うことです。判断基準として「手を動かす作業か」「現地スタッフの仕事を奪うか」などがあります。
2025-09-24 23:25:06,就労の違いを教えて。,,商用は米国内での有給雇用を伴わない商取引（契約交渉、会議参加、相談など）で、就労は現地スタッフが行うべき作業を代わりに行うことです。判断基準として「手を動かす作業か」「現地スタッフの仕事を奪うか」などがあります。
2025-09-24 23:25:28,就労と商用の違いを教えて。,,商用は米国内での有給雇用を伴わない商取引（契約交渉、会議参加、相談など）で、就労は現地スタッフが行うべき作業を代わりに行うことです。判断基準として「手を動かす作業か」「現地スタッフの仕事を奪うか」などがあります。
2025-09-24 23:32:59,就労と商用の違いを教えて。,,商用は米国内での有給雇用を伴わない商取引（契約交渉、会議参加、相談など）で、就労は現地スタッフが行うべき作業を代わりに行うことです。判断基準として「手を動かす作業か」「現地スタッフの仕事を奪うか」などがあります。
2025-09-24 23:33:27,就労と商用の違いを教えて。,,商用は米国内での有給雇用を伴わない商取引（契約交渉、会議参加、相談など）で、就労は現地スタッフが行うべき作業を代わりに行うことです。判断基準として「手を動かす作業か」「現地スタッフの仕事を奪うか」などがあります。
